full,split,length,title,subtitle,date_published,text,date_scraped,rating,top_reviewer,helpful_reviewer,rating_count,name,review_count
"E
Ellen
2 ratings2 reviews
March 20, 2021
I’ve always appreciated BJ’s and shopped at a BJ’s since I lived in New York. The BJ’s in Waterford CT is fine but can you stop the coupons and just mark it down. COSTO JUST MOVED In and I do t have to deal with COUPONS.
Helpful
04/07/2021 13:09:03
3","['E', 'Ellen', '2 ratings2 reviews', 'March 20, 2021', 'I’ve always appreciated BJ’s and shopped at a BJ’s since I lived in New York. The BJ’s in Waterford CT is fine but can you stop the coupons and just mark it down. COSTO JUST MOVED In and I do t have to deal with COUPONS.', 'Helpful', '04/07/2021 13:09:03', '3']",8,Ellen,2 ratings2 reviews,03/20/2021,I’ve always appreciated BJ’s and shopped at a BJ’s since I lived in New York. The BJ’s in Waterford CT is fine but can you stop the coupons and just mark it down. COSTO JUST MOVED In and I do t have to deal with COUPONS.,04/07/2021 13:09:03,3,0,0,2,Ellen,2
"H
HeatherTOP REVIEWERHELPFUL REVIEWER
33 ratings28 reviews
March 17, 2021
Glad I got this. I went there today and got some bargains.
Helpful
04/07/2021 13:09:03
5","['H', 'HeatherTOP REVIEWERHELPFUL REVIEWER', '33 ratings28 reviews', 'March 17, 2021', 'Glad I got this. I went there today and got some bargains.', 'Helpful', '04/07/2021 13:09:03', '5']",8,HeatherTOP REVIEWERHELPFUL REVIEWER,33 ratings28 reviews,03/17/2021,Glad I got this. I went there today and got some bargains.,04/07/2021 13:09:03,5,1,1,33,Heather,28
"J
JulietteTOP REVIEWER
13 ratings9 reviews4 photos
February 24, 2021
Couldn’t print out a physical card and gave me a non working membership number.
Helpful
04/07/2021 13:09:03
1","['J', 'JulietteTOP REVIEWER', '13 ratings9 reviews4 photos', 'February 24, 2021', 'Couldn’t print out a physical card and gave me a non working membership number.', 'Helpful', '04/07/2021 13:09:03', '1']",8,JulietteTOP REVIEWER,13 ratings9 reviews4 photos,02/24/2021,Couldn’t print out a physical card and gave me a non working membership number.,04/07/2021 13:09:03,1,1,0,13,Juliette,9
"E
Erika
2 ratings1 reviews
February 4, 2021
It was very easy, you just show them the barcode and they hand you your cards.
Helpful
04/07/2021 13:09:03
5","['E', 'Erika', '2 ratings1 reviews', 'February 4, 2021', 'It was very easy, you just show them the barcode and they hand you your cards.', 'Helpful', '04/07/2021 13:09:03', '5']",8,Erika,2 ratings1 reviews,02/04/2021,"It was very easy, you just show them the barcode and they hand you your cards.",04/07/2021 13:09:03,5,0,0,2,Erika,1
"L
Linda
1 ratings1 reviews
February 3, 2021
Is a great place for shopping for everyone, especially I have big family so I benefit a lot and customer service is great!
Helpful
04/07/2021 13:09:03
5","['L', 'Linda', '1 ratings1 reviews', 'February 3, 2021', 'Is a great place for shopping for everyone, especially I have big family so I benefit a lot and customer service is great!', 'Helpful', '04/07/2021 13:09:03', '5']",8,Linda,1 ratings1 reviews,02/03/2021,"Is a great place for shopping for everyone, especially I have big family so I benefit a lot and customer service is great!",04/07/2021 13:09:03,5,0,0,1,Linda,1
"K
Kelly
6 ratings4 reviews
January 31, 2021
Great price for membership, easy to sign up and BJ’s has great prices and friendly staff!!!
Helpful
04/07/2021 13:09:03
5","['K', 'Kelly', '6 ratings4 reviews', 'January 31, 2021', 'Great price for membership, easy to sign up and BJ’s has great prices and friendly staff!!!', 'Helpful', '04/07/2021 13:09:03', '5']",8,Kelly,6 ratings4 reviews,01/31/2021,"Great price for membership, easy to sign up and BJ’s has great prices and friendly staff!!!",04/07/2021 13:09:03,5,0,0,6,Kelly,4
"B
BrendaTOP REVIEWER
10 ratings9 reviews
January 29, 2021
I ❤️
Helpful
04/07/2021 13:09:03
5","['B', 'BrendaTOP REVIEWER', '10 ratings9 reviews', 'January 29, 2021', 'I ❤️', 'Helpful', '04/07/2021 13:09:03', '5']",8,BrendaTOP REVIEWER,10 ratings9 reviews,01/29/2021,I ❤️,04/07/2021 13:09:03,5,1,0,10,Brenda,9
"T
Teresa
2 ratings2 reviews
January 29, 2021
Ok
Helpful
04/07/2021 13:09:03
5","['T', 'Teresa', '2 ratings2 reviews', 'January 29, 2021', 'Ok', 'Helpful', '04/07/2021 13:09:03', '5']",8,Teresa,2 ratings2 reviews,01/29/2021,Ok,04/07/2021 13:09:03,5,0,0,2,Teresa,2
"M
MelanesiaTOP REVIEWER
8 ratings8 reviews
January 26, 2021
No comment
Helpful
04/07/2021 13:09:03
5","['M', 'MelanesiaTOP REVIEWER', '8 ratings8 reviews', 'January 26, 2021', 'No comment', 'Helpful', '04/07/2021 13:09:03', '5']",8,MelanesiaTOP REVIEWER,8 ratings8 reviews,01/26/2021,No comment,04/07/2021 13:09:03,5,1,0,8,Melanesia,8
"C
Celia
1 ratings1 reviews
January 26, 2021
nice stock helpfull sales people
Helpful
04/07/2021 13:09:03
5","['C', 'Celia', '1 ratings1 reviews', 'January 26, 2021', 'nice stock helpfull sales people', 'Helpful', '04/07/2021 13:09:03', '5']",8,Celia,1 ratings1 reviews,01/26/2021,nice stock helpfull sales people,04/07/2021 13:09:03,5,0,0,1,Celia,1
"A
AngelTOP REVIEWER
9 ratings7 reviews
January 20, 2021
Great buy, easy voucher redeem
Helpful
04/07/2021 13:09:07
5","['A', 'AngelTOP REVIEWER', '9 ratings7 reviews', 'January 20, 2021', 'Great buy, easy voucher redeem', 'Helpful', '04/07/2021 13:09:07', '5']",8,AngelTOP REVIEWER,9 ratings7 reviews,01/20/2021,"Great buy, easy voucher redeem",04/07/2021 13:09:07,5,1,0,9,Angel,0
"K
KateTOP REVIEWER
31 ratings18 reviews2 photos
January 10, 2021
Excellent service when I showed my Groupon voucher!
Helpful
04/07/2021 13:09:07
5","['K', 'KateTOP REVIEWER', '31 ratings18 reviews2 photos', 'January 10, 2021', 'Excellent service when I showed my Groupon voucher!', 'Helpful', '04/07/2021 13:09:07', '5']",8,KateTOP REVIEWER,31 ratings18 reviews2 photos,01/10/2021,Excellent service when I showed my Groupon voucher!,04/07/2021 13:09:07,5,1,0,31,Kate,0
"D
Debbie
2 ratings2 reviews
January 7, 2021
Such a great Groupon! Signing up was quick and easy and even got a second card for a family member. So worth it!
Helpful
04/07/2021 13:09:07
5","['D', 'Debbie', '2 ratings2 reviews', 'January 7, 2021', 'Such a great Groupon! Signing up was quick and easy and even got a second card for a family member. So worth it!', 'Helpful', '04/07/2021 13:09:07', '5']",8,Debbie,2 ratings2 reviews,01/07/2021,Such a great Groupon! Signing up was quick and easy and even got a second card for a family member. So worth it!,04/07/2021 13:09:07,5,0,0,2,Debbie,0
"T
Teresa
4 ratings3 reviews
January 4, 2021
It is a great deal! And the employees at the Toms River BJ’s are so nice !
Helpful
04/07/2021 13:09:07
5","['T', 'Teresa', '4 ratings3 reviews', 'January 4, 2021', 'It is a great deal! And the employees at the Toms River BJ’s are so nice !', 'Helpful', '04/07/2021 13:09:07', '5']",8,Teresa,4 ratings3 reviews,01/04/2021,It is a great deal! And the employees at the Toms River BJ’s are so nice !,04/07/2021 13:09:07,5,0,0,4,Teresa,0
"A
Aaron
4 ratings4 reviews
January 1, 2021
Jasmin has excellent service experience and she went on and beyond her duties call to help me. CUDOS TO JASMIN......
Helpful
04/07/2021 13:09:07
5","['A', 'Aaron', '4 ratings4 reviews', 'January 1, 2021', 'Jasmin has excellent service experience and she went on and beyond her duties call to help me. CUDOS TO JASMIN......', 'Helpful', '04/07/2021 13:09:07', '5']",8,Aaron,4 ratings4 reviews,01/01/2021,Jasmin has excellent service experience and she went on and beyond her duties call to help me. CUDOS TO JASMIN......,04/07/2021 13:09:07,5,0,0,4,Aaron,0
"T
TamaraTOP REVIEWERHELPFUL REVIEWER
12 ratings10 reviews
December 26, 2020
I was in the Coral Way store and it was very organized and quiet
Helpful
04/07/2021 13:09:07
5","['T', 'TamaraTOP REVIEWERHELPFUL REVIEWER', '12 ratings10 reviews', 'December 26, 2020', 'I was in the Coral Way store and it was very organized and quiet', 'Helpful', '04/07/2021 13:09:07', '5']",8,TamaraTOP REVIEWERHELPFUL REVIEWER,12 ratings10 reviews,12/26/2020,I was in the Coral Way store and it was very organized and quiet,04/07/2021 13:09:07,5,1,1,12,Tamara,0
"F
Felix
7 ratings2 reviews
December 22, 2020
Good deal
Helpful
04/07/2021 13:09:07
5","['F', 'Felix', '7 ratings2 reviews', 'December 22, 2020', 'Good deal', 'Helpful', '04/07/2021 13:09:07', '5']",8,Felix,7 ratings2 reviews,12/22/2020,Good deal,04/07/2021 13:09:07,5,0,0,7,Felix,0
"V
VannthaTOP REVIEWER
18 ratings13 reviews
December 21, 2020
Very pleased with the customer service,
Helpful
04/07/2021 13:09:07
5","['V', 'VannthaTOP REVIEWER', '18 ratings13 reviews', 'December 21, 2020', 'Very pleased with the customer service,', 'Helpful', '04/07/2021 13:09:07', '5']",8,VannthaTOP REVIEWER,18 ratings13 reviews,12/21/2020,"Very pleased with the customer service,",04/07/2021 13:09:07,5,1,0,18,Vanntha,0
"D
Darlene
2 ratings2 reviews
December 19, 2020
I love shopping @ Bj’s since the 1st opened. I have four children which are grown now with their own children and now I have 17 grandchildren so I have to shop even bigger now and still love shopping @ Bj’s
Helpful
04/07/2021 13:09:07
5","['D', 'Darlene', '2 ratings2 reviews', 'December 19, 2020', 'I love shopping @ Bj’s since the 1st opened. I have four children which are grown now with their own children and now I have 17 grandchildren so I have to shop even bigger now and still love shopping @ Bj’s', 'Helpful', '04/07/2021 13:09:07', '5']",8,Darlene,2 ratings2 reviews,12/19/2020,I love shopping @ Bj’s since the 1st opened. I have four children which are grown now with their own children and now I have 17 grandchildren so I have to shop even bigger now and still love shopping @ Bj’s,04/07/2021 13:09:07,5,0,0,2,Darlene,0
"J
James
1 ratings1 reviews
December 18, 2020
Good job
Helpful
04/07/2021 13:09:07
5","['J', 'James', '1 ratings1 reviews', 'December 18, 2020', 'Good job', 'Helpful', '04/07/2021 13:09:07', '5']",8,James,1 ratings1 reviews,12/18/2020,Good job,04/07/2021 13:09:07,5,0,0,1,James,0
"S
Saulo
2 ratings2 reviews
December 16, 2020
Excellent
Helpful
04/07/2021 13:09:11
5","['S', 'Saulo', '2 ratings2 reviews', 'December 16, 2020', 'Excellent', 'Helpful', '04/07/2021 13:09:11', '5']",8,Saulo,2 ratings2 reviews,12/16/2020,Excellent,04/07/2021 13:09:11,5,0,0,2,Saulo,0
"S
ScotTOP REVIEWER
23 ratings16 reviews
December 16, 2020
Good 💩
Helpful
04/07/2021 13:09:11
5","['S', 'ScotTOP REVIEWER', '23 ratings16 reviews', 'December 16, 2020', 'Good 💩', 'Helpful', '04/07/2021 13:09:11', '5']",8,ScotTOP REVIEWER,23 ratings16 reviews,12/16/2020,Good 💩,04/07/2021 13:09:11,5,1,0,23,Scot,0
"L
LaurenTOP REVIEWER
30 ratings12 reviews
December 15, 2020
Monroe NY store location was a pleasure to redeem groupon, and shop in. Front end employees were friendly, helpful & accommodating. Recommended.
Helpful
04/07/2021 13:09:11
5","['L', 'LaurenTOP REVIEWER', '30 ratings12 reviews', 'December 15, 2020', 'Monroe NY store location was a pleasure to redeem groupon, and shop in. Front end employees were friendly, helpful & accommodating. Recommended.', 'Helpful', '04/07/2021 13:09:11', '5']",8,LaurenTOP REVIEWER,30 ratings12 reviews,12/15/2020,"Monroe NY store location was a pleasure to redeem groupon, and shop in. Front end employees were friendly, helpful & accommodating. Recommended.",04/07/2021 13:09:11,5,1,0,30,Lauren,0
