name,text,rating,review_count,top_reviewer,helpful_reviewer,date_published,date_scraped
Briseida,So glad I bought the membership. In perfect time before my daughter’s wedding,20,15,1,0,03/28/2021,03/28/2021 09:19:51
Fannie,I didn't redeem anything I lost out on my card and my money was not able to talk to anyone will not ever do that again,1,1,0,0,03/28/2021,03/28/2021 09:19:51
Mary,They were Awesome.. but Groupons person on chat was terrible.. I will Never buy Anything on Groupon again..,5,3,0,0,03/28/2021,03/28/2021 09:19:51
Rebecca,Easy to do- took 5 minutes total and was able to get my card in store with no issues!,3,2,0,0,03/28/2021,03/28/2021 09:19:51
Adolph,found all kinds of goodness we'll definitely be back,1,1,0,0,03/28/2021,03/28/2021 09:19:51
Cortney,It was easy to redeem online also to get your card in the store or took no more than 5 minutes,1,1,0,0,03/28/2021,03/28/2021 09:19:51
Angela,It was a great deal,2,1,0,0,03/28/2021,03/28/2021 09:19:51
Shelley,"Very good values if you have the space for bulk items. Good to make an inventory and shop for the month on bulk/cleaning items. Also, great gas prices. Plan on checking on tires and other automotive needs.",1,1,0,0,03/28/2021,03/28/2021 09:19:51
Marlene,I had an amazing time at Sams Club. They have amazing prices.,8,5,1,0,03/28/2021,03/28/2021 09:19:51
Kimberly,Great prices and first service was on point!!,9,5,1,0,03/28/2021,03/28/2021 09:19:51
Carmen,I accidentally redeemed it trying to learn how to get my membership card I have not visited dam club,1,0,0,0,03/28/2021,03/28/2021 09:19:55
Angela,Very quick and easy to setup.,1,0,0,0,03/28/2021,03/28/2021 09:19:55
Manuel,I bought the $35 deal that is supposed to be the $100 membership but it gave me the $45 one instead i view this as false advertisement and i tried to get customer support number but it gives me only Sam’s clubs number.,1,0,0,0,03/28/2021,03/28/2021 09:19:55
Kimberly,5 stars hands down!,8,0,1,0,03/28/2021,03/28/2021 09:19:55
Tameka,"Waiting was a while and then the associate wasn’t sure how to prose the Groupon but, she was nice about it.",11,0,1,1,03/28/2021,03/28/2021 09:19:55
Deborah,I’m glad to get the Groupon deal for this Sams Club membership; my first one. Looking forward to future shopping experiences and money saving purchases.,2,0,0,0,03/28/2021,03/28/2021 09:19:55
Danielle,It is not user friendly at all ! B,1,0,0,0,03/28/2021,03/28/2021 09:19:55
Vickie,I wasn't able to activate the membership with code given. I am trying to get this resolved,4,0,0,1,03/28/2021,03/28/2021 09:19:55
Shadella,I wasn’t able to use the Groupon sam club card and I redeemed my voucher and wasn’t able to use the card or the voucher I had to get the membership through sam club so now I have paid Groupon for a sam card that I never used I have tried to get a refund from Groupon but was unav,1,0,0,0,03/28/2021,03/28/2021 09:19:55
Nicole,Wonderful,1,0,0,0,03/28/2021,03/28/2021 09:19:55
