,star rating,name,review,date,location_code
0,5,XxbluewølfX x,Eric has great customer service. He told me to use the receipt and left instructions on it. But I lost it. It was a good shopping run and he made the experience even better. Way to go Eric!!!,2021-03-01,1
1,4,Biswanath Roy,Not ample stock compare to other stores. Other than everything good. It has good parking spaces.,2020-10-01,1
2,1,Amy Rose,"This location has been my reliable go-to for many years, however, based on my last two trips, I'm not sure I can continue shopping here.

We all expect to spend time standing in line, especially with the COVID protocols in place. …",2021-02-01,1
3,1,Sabina Lamichhane,"I place a online pick up order to save some time. Everytime I pick up the order, they can't complete the order and mark the item as missing. When I look in the aisle, behold it's there. Today I had the worst experience. I was missing half …",2021-02-01,1
4,1,Donnie L.S,"Do something!!!
make a self checkout line other BJ can manage well hope this place can too. Avoid weekend.",2021-02-01,1
5,5,Jackie D,"I'm a 15 years BJ's member and got issues twice, store manager done what she can do and helped me out. Those issues were all about items warranty / service and not their fault. She understood and helped. Thank you.",2020-09-01,1
6,1,Lauren King,Curbside pickup is a joke. They had me waiting for something that could have took me 5 minutes.  Only did curbside because I didn't want to bring 4 kids in the store with me. Also tried to call the store after waiting 25 minutes after I …,2021-12-01,1
7,1,Aydin Alim,"Very disappointed with the Tire Service, and manager’s attitude to my problem.
I’ve been there three times in two weeks. Wheels were badly balanced. The manager Justin, who promised to meet me there after my phone inquiry, simply ignored me …",2020-10-01,1
8,1,srkharel,"I had appointment at 4pm on tax free weekend for my tire install.When I got to tire center, I was told that they didn’t have tire and I had to reschedule. Again I didn’t get service on time.
I had another appointment and Monday and I got …",2020-10-01,1
9,1,pavana rai,"Worse customer service, supervisor’s attitude was the worst to my problem. I believe her name was Radha was not helpful at all instead she was rude and mean.",2020-11-01,1
10,5,Melanie Russo,"This Location has been so careful,clean& doing everything to make guests feel safe. TheOThe prices are great..  I wish customers would stop throwing gloves and masks in parking lot. It's not fair seeing all the carriage boys having to pick up the germs. Ty BJ's Medford.",2020-06-01,1
11,2,Ryan Li,"Today afternoon my uncle was waiting in line at this Bj ready to pay. He was patiently waiting in line and finally when it was his turn to pay, a employee came up to him and tell him to go back to the line thinking that he cut the line. …",2020-06-01,1
12,1,Amaris Brown,"Rude teenage cashiers on their phones who don’t help you. Manager who couldn’t care less. Bought a product they said was in stock, turns out it wasn’t and now I’m waiting 10 business days for a refund of a product that was almost a grand. Unprofessional, rude and lazy.",2021-01-01,1
13,1,pam korakod,Such a shame and sad story I could say! I've had a reservation online over week ago for tires changing my appointment has made  at 0930pm. Medford on Friday June 26 . I got there At the desk he tell me that the mechanic has called off and I …,2020-07-01,1
14,5,Kim Lee,"I love this store. Except when it's covid-19 shopping.
the only thing I will complain about is the tall creepy guy in the parking. Who swears he owns the parking lot..",2020-05-01,1
15,2,Todd Xiao,"This is the first time I write a very serious review.
My experience had been okay for a while at this location. Normally buying things and such, with some helpful staff.

But for work purposes, I've purchased a large pallet of milk …",2020-06-01,1
16,1,Karine H,"We go there very often because they have a nice variety of food specially international options that you can’t find at other locations, but today right next to the water cases we saw a mice running in the middle of the store. Check your cameras, mice poop and get them out please",2020-01-01,1
17,2,Nicole Waters,Always out of stick lately of stuff and items in idles randomly,2020-10-01,1
18,5,Randy Hurley,"Sanjay at the front desk was very helpful getting my new card for me. I like the app linked to my card as well.

Perrin helped pick out the TV that best fit my needs

Very helpful staff

11/8/20
Brandon helped with my TV educated me on …",2020-11-01,1
19,2,Ada Flores,"This is the third time I have come for my free replacement tire and, again, I was sent away. The first time I came at night and the computer wasn't working. The second time, I called the day before and the guy on the phone said come over …",2020-01-01,1
20,4,Jeff Sawtelle,"It's your standard wholesale club experience. Big, wide aisles, giant lots of stuff, and mayonnaise by the gallon. The selection is pretty good; the wife & I can do a month""s worth of grocery shopping for about the same cost as 2 weeks …",2019-01-01,1
21,5,King Ho,Nice staffs but sometimes they could be really slow.,2020-01-01,1
22,4,James Craver,"I enjoy BJ's Wholesale Club for its variety and price. My only complaints, if pressed, would be that the service desk sometimes has trouble with their systems. They always make it right in the end, but sometimes it takes a while. Also, …",2019-01-01,1
23,5,Savino J,"I went today to buy an advertised 8k BTU AC. It was easy to find! I ended up buying other items including individual wrapped Purdue chicken thighs, $9 for six meals, these freeze well. I got other things. The lady who checked me out was …",2019-01-01,1
24,2,Jeanne Walsh,Prices are the same in the Grocery Store or BJ's is higher.  No one on the floor to assist but they can sure ride the Large carts down the Isle.  Not a good Experience. Great possibility it is our Last Membership with BJ's.,2019-01-01,1
25,1,Vladimir Presnyak,Called 5 times over 3 days without anyone ever picking up the phone. They collect a membership fee and that's the level of service? Unacceptable.,2020-01-01,1
26,1,Domenic Camarra,"In a word...""dishartning"".
With hundreds of shopping customers, only ONE register was staffed, and lines of people lined up, patiently but frustratingly waiting to be helped checking out. Only ONE helpful young lady available to help with …",2018-01-01,1
27,1,Ana Funes,"Racist supervisor,
Today my mother and my 10 year old went to Bjs to buy some groceries we need but my mom forgot her bjs card and the cashier was very nice to help her out but the cashier made a mistake and when she called the supervisor …",2020-01-01,1
28,5,Sheila Miller,"I'm writing a review to say how impressed I was with the service I received especially the Deli dept. I was there Saturday morning, June 3rd, to pick up, amongst other things for a party, mainly a cake and a Deli platter. There was a bit of …",2018-01-01,1
29,5,Chris Ronsicki,"Exactly what you'd expect. Solid options, great values, for larger wholesale packages. Great for large family's or those with plenty of freezer space. Great book selections too!",2018-01-01,1
30,5,Max C.,"Thanks for installing the additonal SIX (6) new <=15 items self check-out registers! Way to go! They're much faster to check out than the conveyor belt which didn't allow to scan until the item travels off the scale. It also has a ""pour by handful"" coin receiver - useful to quickly pay part in these accumulating coins.",2019-01-01,1
31,3,Norman Maines,"I find the store is ok? It's good for buying some small stuff (for me )  dress shirts (for work) pants, socks,  T shirts ,  sweaters maybe a coat or jacket and maybe select food items (for family) but, u the things u buy are bigger items …",2019-01-01,1
32,5,Fernando Franco Cuadrado,"Great prices for a lot of things but watch for a few items, they may end up costing more when buying in bulk or offer little in savings.

The lines are absolutely ridiculous, they only open a quarter of the registers when busy and the self …",2020-01-01,1
33,5,Katia Borba,This is the Best BJ'S.,2020-01-01,1
