,average rating,reviews count,location,location_code
91,4.1,5112,"770 Broadway, Saugus, MA 01906",1
92,4.0,3671,"141 Washington Ave Ext, Albany, NY 12205",2
93,4.1,7710,"174 Passaic St, Garfield, NJ 07026",3
94,3.7,4375,"4004 Tuscarawas St W, Canton, OH 44708",4
95,4.0,3886,"315 Foxon Blvd, New Haven, CT 06513",5
96,4.1,2785,"934 NJ-73, Mt Laurel Township, NJ 08054",6
97,3.9,4280,"1000 E Pulaski Hwy, Elkton, MD 21921",7
98,4.1,3743,"326 N Broadway, Salem, NH 03079",8
99,4.2,2773,"30 Memorial Dr, Avon, MA 02322",9
100,3.8,4639,"591 Memorial Dr, Chicopee, MA 01020",10
101,3.7,7125,"2601 MacArthur Rd, Whitehall, PA 18052",11
102,3.9,5056,"4301 Byberry Rd, Philadelphia, PA 19154",12
103,4.0,2919,"506 State Rd, North Dartmouth, MA 02747",13
104,3.7,2576,"3400 Hartzdale Dr, Camp Hill, PA 17011",14
105,4.1,4538,"290 NJ-18, East Brunswick, NJ 08816",15
106,3.8,3807,"3575 NJ-66, Neptune City, NJ 07753",16
107,3.9,3433,"500 Gallery Blvd, Scarborough, ME 04074",17
108,3.9,3639,"9990 Belvedere Rd, West Palm Beach, FL 33411",18
109,4.1,2679,"13059 Fair Lakes Pkwy, Fairfax, VA 22033",19
110,3.8,3970,"5360 Southwestern Blvd, Hamburg, NY 14075",20
111,4.1,3236,"657 Phoenix Dr, Virginia Beach, VA 23452",21
112,4.1,3276,"1100 New Haven Rd, Naugatuck, CT 06770",22
113,3.9,2359,"742 Main St, North Oxford, MA 01537",23
114,3.9,3019,"85 NH-101A, Amherst, NH 03031",24
115,3.8,4615,"8118 Perry Hills Rd, Nottingham, MD 21236",25
116,3.9,4957,"14000 Worth Ave, Woodbridge, VA 22192",26
117,4.3,12831,"400 Park Plaza Dr, Secaucus, NJ 07094",27
118,3.7,4562,"6438 Basile Rowe, East Syracuse, NY 13057",28
119,3.7,3621,"6303 Richmond Hwy, Alexandria, VA 22306",29
120,4.0,2073,"280 Washington St, Hudson, MA 01749",30
121,4.0,1502,"1885 NJ-57 Ste 100, Hackettstown, NJ 07840",31
122,3.9,15508,"77 Green Acres Rd S, Valley Stream, NY 11581",32
123,4.3,6144,"8400 Coral Way, Miami, FL 33155",33
124,3.7,4380,"180 Levittown Center, Levittown, PA 19055",34
125,3.9,5001,"26 W Merritt Blvd, Fishkill, NY 12524",35
126,4.2,4242,"12800 Pines Blvd, Pembroke Pines, FL 33027",36
127,3.9,4379,,37
128,3.7,4393,"400 S State Rd, Springfield, PA 19064",38
129,3.7,4393,"400 S State Rd, Springfield, PA 19064",39
130,3.8,3953,"5370 Allentown Pike, Temple, PA 19560",40
131,4.0,2525,"11 Jungle Rd, Leominster, MA 01453",41
132,3.7,3446,"8107 Governor Ritchie Hwy, Pasadena, MD 21122",42
133,4.0,6084,"3549 Russett Green E, Laurel, MD 20724",43
134,3.7,3945,"8730 Liberty Rd, Randallstown, MD 21133",44
135,3.9,1391,"2460 Lafayette Rd, Portsmouth, NH 03801",45
136,3.5,3377,"1000 Town Center Dr, York, PA 17408",46
137,3.8,2745,"16 Old Gick Rd, Saratoga Springs, NY 12866",47
138,4.1,7603,"1050 W Edgar Rd, Linden, NJ 07036",48
139,3.9,2465,"8770 Dell Center Dr, Liverpool, NY 13090",49
140,4.0,2862,"1800 Carl D. Silver Pkwy, Fredericksburg, VA 22401",50
141,3.8,3130,"2448 Chesapeake Square Ring Rd, Chesapeake, VA 23321",51
142,3.8,2549,"303 Fallston Blvd, Fallston, MD 21047",52
143,4.0,3648,"4620 E Black Horse Pike, Mays Landing, NJ 08330",53
144,4.0,2242,"1990 Brandt Point Dr, Webster, NY 14580",54
145,4.1,3382,"288 Larkin Dr, Monroe, NY 10950",55
146,4.1,9763,"1 Teterboro Landing Dr, Teterboro, NJ 07608",56
147,3.9,4641,"495 Flatbush Ave, Hartford, CT 06106",57
148,3.8,3105,"200 Dutch Meadows Ln, Glenville, NY 12302",58
149,4.0,2350,"155 Parkway N, Waterford, CT 06385",59
150,3.8,3646,"2000 Clements Bridge Rd Ste 100, Deptford, NJ 08096",60
151,4.1,1972,"516 School House Rd, Kennett Square, PA 19348",61
152,4.0,4964,"21151 S Dixie Hwy, Miami, FL 33189",62
153,3.8,3724,"275 N Gulph Rd, King of Prussia, PA 19406",63
154,3.6,4769,"33752 Vine St, Willowick, OH 44095",64
155,4.3,12450,"2100 88th St, North Bergen, NJ 07047",65
156,3.9,2296,"580 U.S. 9, Lanoka Harbor, NJ 08734",66
157,4.0,3417,"550 Providence Hwy, Walpole, MA 02081",67
158,3.8,2754,"3520 Hudson Dr, Stow, OH 44224",68
159,3.8,2754,"3520 Hudson Dr, Stow, OH 44224",69
160,3.9,3564,"7 Dowling Village Blvd, North Smithfield, RI 02896",70
161,4.1,3238,"5571 W Hillsboro Blvd, Coconut Creek, FL 33073",71
162,4.0,4303,"10855 So. Us Hwy #1 #1, Port St. Lucie, FL 34952",72
163,3.9,3248,"11900 Atlantic Blvd, Jacksonville, FL 32225",73
164,4.2,8433,"301 S State Rd 7, Hollywood, FL 33023",74
165,3.9,3732,"2010 Kildaire Farm Rd, Cary, NC 27518",75
