name,text,rating,review_count,top_reviewer,helpful_reviewer,date_published,date_scraped
Ellen,I’ve always appreciated BJ’s and shopped at a BJ’s since I lived in New York. The BJ’s in Waterford CT is fine but can you stop the coupons and just mark it down. COSTO JUST MOVED In and I do t have to deal with COUPONS.,3,2,0,0,03/20/2021,04/07/2021 13:09:03
Heather,Glad I got this. I went there today and got some bargains.,5,28,1,1,03/17/2021,04/07/2021 13:09:03
Juliette,Couldn’t print out a physical card and gave me a non working membership number.,1,9,1,0,02/24/2021,04/07/2021 13:09:03
Erika,"It was very easy, you just show them the barcode and they hand you your cards.",5,1,0,0,02/04/2021,04/07/2021 13:09:03
Linda,"Is a great place for shopping for everyone, especially I have big family so I benefit a lot and customer service is great!",5,1,0,0,02/03/2021,04/07/2021 13:09:03
Kelly,"Great price for membership, easy to sign up and BJ’s has great prices and friendly staff!!!",5,4,0,0,01/31/2021,04/07/2021 13:09:03
Brenda,I ❤️,5,9,1,0,01/29/2021,04/07/2021 13:09:03
Teresa,Ok,5,2,0,0,01/29/2021,04/07/2021 13:09:03
Melanesia,No comment,5,8,1,0,01/26/2021,04/07/2021 13:09:03
Celia,nice stock helpfull sales people,5,1,0,0,01/26/2021,04/07/2021 13:09:03
Angel,"Great buy, easy voucher redeem",5,0,1,0,01/20/2021,04/07/2021 13:09:07
Kate,Excellent service when I showed my Groupon voucher!,5,0,1,0,01/10/2021,04/07/2021 13:09:07
Debbie,Such a great Groupon! Signing up was quick and easy and even got a second card for a family member. So worth it!,5,0,0,0,01/07/2021,04/07/2021 13:09:07
Teresa,It is a great deal! And the employees at the Toms River BJ’s are so nice !,5,0,0,0,01/04/2021,04/07/2021 13:09:07
Aaron,Jasmin has excellent service experience and she went on and beyond her duties call to help me. CUDOS TO JASMIN......,5,0,0,0,01/01/2021,04/07/2021 13:09:07
Tamara,I was in the Coral Way store and it was very organized and quiet,5,0,1,1,12/26/2020,04/07/2021 13:09:07
Felix,Good deal,5,0,0,0,12/22/2020,04/07/2021 13:09:07
Vanntha,"Very pleased with the customer service,",5,0,1,0,12/21/2020,04/07/2021 13:09:07
Darlene,I love shopping @ Bj’s since the 1st opened. I have four children which are grown now with their own children and now I have 17 grandchildren so I have to shop even bigger now and still love shopping @ Bj’s,5,0,0,0,12/19/2020,04/07/2021 13:09:07
James,Good job,5,0,0,0,12/18/2020,04/07/2021 13:09:07
Saulo,Excellent,5,0,0,0,12/16/2020,04/07/2021 13:09:11
Scot,Good 💩,5,0,1,0,12/16/2020,04/07/2021 13:09:11
Lauren,"Monroe NY store location was a pleasure to redeem groupon, and shop in. Front end employees were friendly, helpful & accommodating. Recommended.",5,0,1,0,12/15/2020,04/07/2021 13:09:11
Arilis,Very good and easy process.,5,0,1,0,12/14/2020,04/07/2021 13:09:11
Denise,Great deal and honored easily!,5,0,0,0,12/14/2020,04/07/2021 13:09:11
Howard,Great price! Easy to use.,5,0,1,0,12/14/2020,04/07/2021 13:09:11
Theresa,Great deal,5,0,0,0,12/13/2020,04/07/2021 13:09:11
Ciello,Good value for the membership definitely.,5,0,0,0,12/13/2020,04/07/2021 13:09:11
India,"Everything was great except the card that prints out membership wasn't working, and I had to get someone to bring me up there and they can't even mail it to me. Other than that my experience with the cashier and staff was great",3,0,0,0,12/12/2020,04/07/2021 13:09:11
Valerie,Very helpful customer service experience!,5,0,0,0,12/12/2020,04/07/2021 13:09:11
Beverly,"Bought the BJ’s members Groupon. Went back a week later to print out the voucher to take to the store. It said expired, but was able to view voucher, then I accidentally touched redeemed, thinking it would take me to the page to print it out, but didn’t, now says redeemed across the barcode. Groupon never had on the BJ’s Groupon an expiration date before, when I bought it on Nov 29.",3,0,0,0,12/12/2020,04/07/2021 13:09:15
Lisa,Wonderful,5,0,0,0,12/10/2020,04/07/2021 13:09:15
Adonte,Worked great played 20 bucks for a year and I'm moving sonit was a great buy,5,0,0,0,12/09/2020,04/07/2021 13:09:15
Kenisha,Great price! I even got an extra card at BJs for my friend.,5,0,0,0,12/08/2020,04/07/2021 13:09:15
Patti,Great customer service!,5,0,1,0,12/07/2020,04/07/2021 13:09:15
Katie,I never received membership.,1,0,0,0,12/07/2020,04/07/2021 13:09:15
Jael,It was great.. Quick & easy,5,0,0,0,12/07/2020,04/07/2021 13:09:15
Savion,The whole overall experience was great and I would definitely refer a friend,5,0,0,0,12/07/2020,04/07/2021 13:09:15
Sandra,I bought it for my daughter and her fiancé for Christmas so I didn’t catch it had an early expiration date. My daughter was talking about them getting one so I ended up telling her and showing her the Groupon. It ended THAT DAY. LITERALLY IN ONE HOUR. We ran to BJs and an account was opened for her in seconds,5,0,1,0,12/06/2020,04/07/2021 13:09:15
Keon,Love bjs,5,0,0,0,12/06/2020,04/07/2021 13:09:15
Diana,"Fast & great customer service, got my ID card without any problems.",5,0,0,0,12/06/2020,04/07/2021 13:09:19
Deborah,Quick and easy set up.,5,0,1,0,12/06/2020,04/07/2021 13:09:19
Tiffany,It didn’t work I had to pay for a membership out of pocket when I got there. I purchased the grill on a November 14 and it expired on,1,0,1,0,12/05/2020,04/07/2021 13:09:19
Selvin,Quick and awesome saving!,5,0,0,0,12/05/2020,04/07/2021 13:09:19
Joe,Friendly people activated my membership easily.,5,0,0,0,12/05/2020,04/07/2021 13:09:19
Chris,Line to check out was really long,4,0,1,0,12/05/2020,04/07/2021 13:09:19
Jacqueline,Customer service was great. Speedy process.,5,0,0,0,12/04/2020,04/07/2021 13:09:19
Guest,Great next desk staff,5,0,0,0,12/04/2020,04/07/2021 13:09:19
Daniel,"Employees with pulled down masks, not the cleanest place either. I won't be back. I would like a refund and withdrawal from the club.",2,0,0,0,12/04/2020,04/07/2021 13:09:19
Rebecca,Customer service was great and it only took a few minutes to get things set up,5,0,0,0,12/04/2020,04/07/2021 13:09:19
Carol,It came expired after I purchased it. I want my money back.,1,0,0,0,12/04/2020,04/07/2021 13:09:22
Sharna,Nice and professional,5,0,1,1,12/04/2020,04/07/2021 13:09:22
Carmen,"Love this store!!! Some items are pricey, but overall, I am satisfied!",5,0,0,0,12/04/2020,04/07/2021 13:09:22
Mary,"I'm so happy, great staff and prices.",5,0,1,0,12/04/2020,04/07/2021 13:09:22
Kathleen,"I never received my order! The concierge reported that my order arrived but the driver ignored the clear and explicit instructions I had attached to leave it on the shelving in the lobby that was there for this very purpose and, instead, left the premises with me order.",1,0,1,0,12/04/2020,04/07/2021 13:09:22
Nya,Sams is better.... really over priced,1,0,0,0,12/04/2020,04/07/2021 13:09:22
