average rating,reviews count,location,location_code
4.6,"2,758","2 Mystic View Rd, Everett, MA 02149",1
4.6,"2,558","119 Daggett Dr, West Springfield, MA 01089",2
4.5,"6,450","20 Bridewell Pl, Clifton, NJ 07014",3
4.6,"2,689","6720 Bass Pro Dr, Hudson, OH 44236",4
4.5,"1,720","3000 Middle Country Rd, Nesconset, NY 11767",5
4.7,475,"650 Garden Park Blvd, Cherry Hill, NJ 08002",6
4.6,"4,314","900 Center Blvd S, Newark, DE 19702",7
4.5,"2,917","311 Daniel Webster Hwy, Nashua, NH 03060",8
4.5,"1,912","120 Stockwell Dr, Avon, MA 02322",9
4.5,"3,540","1875 Hempstead Rd, Lancaster, PA 17601",10
4.6,"3,013","791 N Krocks Rd, Allentown, PA 18106",11
4.6,"2,716","100 Veterans Way, Warminster, PA 18974",12
4.6,"2,573","5125 Jonestown Rd STE 221, Harrisburg, PA 17112",13
4.5,"6,315","205 Vineyard Rd, Edison, NJ 08817",14
4.6,"1,684","2361 NJ-66, Ocean Township, NJ 07712",15
4.6,"1,966","11 Newbury St, Danvers, MA 01923",16
4.5,"2,807","1718 Boston Post Rd, Milford, CT 06460",17
4.5,"2,587","11001 Southern Blvd, Royal Palm Beach, FL 33411",18
4.4,"4,331","4725 West Ox Rd, Fairfax, VA 22030",19
4.4,"4,952","7500 Pin Oak Dr, Niagara Falls, ON L2H 2E9, Canada",20
4.5,"3,976","850 Glenrock Rd, Norfolk, VA 23502",21
4.6,"2,245","3600 E Main St, Waterbury, CT 06705",22
4.5,"2,642","71 2nd Ave, Waltham, MA 02451",23
4.5,"2,391","9919 Pulaski Hwy, Middle River, MD 21220",24
4.5,"2,345","2700 Potomac Mills Cir #200, Woodbridge, VA 22192",25
4.6,"2,253","21 Goldsborough Dr, Bayonne, NJ 07002",26
4.6,"2,657","120 Township Blvd, Camillus, NY 13031",27
4.4,"3,286","1200 S Fern St, Arlington, VA 22202",28
4.5,"3,108","315 NJ-15, Wharton, NJ 07885",29
4.6,"4,196","13450 SW 120th St, Miami, FL 33186",30
4.6,"2,475","200 Federal Rd, Brookfield, CT 06804",31
4.6,"3,836","15915 Pines Blvd, Pembroke Pines, FL 33027",32
4.6,"2,299","700 Evergreen Dr, Glen Mills, PA 19342",33
4.6,"2,550","14 Lightcap Rd, Pottstown, PA 19464",34
4.6,"2,544","575 E Ordnance Rd, Glen Burnie, MD 21060",35
4.4,"3,449","6675 Marie Curie Dr, Elkridge, MD 21075",36
4.5,"1,918","10270 Mill Run Cir, Owings Mills, MD 21117",37
4.5,"5,058","1055 Hudson St, Union, NJ 07083",38
4.5,"2,239","3102 Plank Rd # 600, Fredericksburg, VA 22407",39
4.6,"2,066","16006 Crain Hwy, Brandywine, MD 20613",40
4.6,"3,091","1290 U.S. 22 #22E, North Plainfield, NJ 07060",41
4.6,"1,503","245 Stafford Park Blvd, Stafford Township, NJ 08050",42
4.5,"3,592","335 Westfall Rd, Rochester, NY 14620",43
4.4,"2,998","50 Overlook Blvd, Nanuet, NY 10954",44
4.6,"2,489","405 Hartford Rd, New Britain, CT 06053",45
4.6,735,"284 Flanders Rd, East Lyme, CT 06333",46
4.5,"3,054","201 Allendale Rd, King of Prussia, PA 19406",47
4.5,"3,998","149 NJ-23, Wayne, NJ 07470",48
4.5,"3,362","1409 Golden Gate Blvd, Cleveland, OH 44124",49
4.4,"5,073","6135 Junction Blvd, Queens, NY 11374",50
