,average rating,reviews count,location,location_code
0,4.3,578,"7 Walmart Blvd, Hudson, NH 03051",1
1,4.2,609,"579 Troy Schenectady Rd, Latham, NY 12110",2
2,4.4,1548,"300 Park Plaza Dr, Secaucus, NJ 07094",3
3,4.5,1037,"4790 Portage St NW, Canton, OH 44720",4
4,4.3,813,"2950 Horseblock Road, Medford, NY 11763",5
5,4.4,801,"2521 Route 130 S, Cinnaminson, NJ 08077",6
6,4.4,740,"2000 Clements Bridge Rd, Deptford, NJ 08096",7
7,4.3,692,"2801 E Market St, York, PA 17402",8
8,4.4,721,"3465 Berlin Turnpike, Newington, CT 06111",9
9,4.4,958,"901 Airport Center Rd, Allentown, PA 18109",10
10,4.5,955,"1000 Franklin Mills Cir, Philadelphia, PA 19154",11
11,4.5,589,"6520 Carlisle Pike, Mechanicsburg, PA 17050",12
12,4.3,1266,"883 US-1, Edison, NJ 08817",13
13,4.3,644,"320 W Main St, Freehold, NJ 07728",14
14,4.2,458,"440 Payne Rd, Scarborough, ME 04074",15
15,4.2,986,"4295 45th St, West Palm Beach, FL 33407",16
16,4,629,"45425 Dulles Crossing Plaza, Sterling, VA 20166",17
17,4.2,664,"3735 Union Rd, Cheektowaga, NY 14225",18
18,4.4,1014,"3345 Virginia Beach Blvd, Virginia Beach, VA 23452",19
19,4.1,1038,"6410 Petrie Way Rd, Baltimore, MD 21237",20
20,4.2,664,"14050 Worth Ave, Woodbridge, VA 22192",21
21,4.4,545,"21341 Sams Dr, Watertown, NY 13601",22
22,4.4,1557,"8425 NW 13th Terrace, Doral, FL 33126",23
23,4.3,883,"1717 E Old Lincoln Hwy, Langhorne, PA 19047",24
24,4.3,481,"56 W Merritt Blvd, Fishkill, NY 12524",25
25,4.2,1261,"1900 S University Dr, Miramar, FL 33025",26
26,4.4,832,"5314 Allentown Pike, Temple, PA 19560",27
27,4.2,861,"424 George Clauss Blvd, Severn, MD 21144",28
28,4.3,900,"3535 Russett Green E, Laurel, MD 20724",29
29,4.2,679,"15 Texas Station Ct, Lutherville-Timonium, MD 21093",30
30,4.4,439,"304 Sheep Davis Rd, Concord, NH 03301",31
31,4.4,695,"2444 Chesapeake Square Ring Rd, Chesapeake, VA 23321",32
32,4.4,791,"2365 Crain Hwy, Waldorf, MD 20601",33
